filename,width,height,class,xmin,ymin,xmax,ymax
image1204.jpg,800,600,Green,134,459,168,521
image1204.jpg,800,600,Green,264,462,295,528
image1204.jpg,800,600,Green,384,471,410,533
image182.jpg,800,600,Green,118,265,171,399
image182.jpg,800,600,Green,379,272,423,405
image182.jpg,800,600,Green,639,279,696,403
image183.jpg,800,600,Green,105,265,174,401
image183.jpg,800,600,Green,374,271,434,402
image183.jpg,800,600,Green,639,276,698,410
image184.jpg,800,600,Green,110,264,171,402
image184.jpg,800,600,Green,374,275,431,405
image184.jpg,800,600,Green,640,276,695,411
image185.jpg,800,600,Green,113,271,171,398
image185.jpg,800,600,Green,372,271,434,404
image185.jpg,800,600,Green,638,278,696,410
image186.jpg,800,600,Green,108,265,175,398
image186.jpg,800,600,Green,373,272,433,407
image186.jpg,800,600,Green,637,276,696,405
image187.jpg,800,600,Green,113,268,167,397
image187.jpg,800,600,Green,372,268,431,402
image187.jpg,800,600,Green,639,279,695,407
image188.jpg,800,600,Green,112,266,171,401
image188.jpg,800,600,Green,377,273,433,402
image188.jpg,800,600,Green,638,277,695,408
image189.jpg,800,600,Green,115,266,169,398
image189.jpg,800,600,Green,375,271,433,401
image189.jpg,800,600,Green,631,274,695,410
image193.jpg,800,600,Green,107,261,172,406
image193.jpg,800,600,Green,376,274,429,402
image193.jpg,800,600,Green,641,272,702,406
image194.jpg,800,600,Green,108,256,162,387
image194.jpg,800,600,Green,375,261,438,401
image194.jpg,800,600,Green,643,266,705,396
image195.jpg,800,600,Green,103,253,165,396
image195.jpg,800,600,Green,373,259,442,398
image195.jpg,800,600,Green,644,260,710,399
image199.jpg,800,600,Green,97,240,170,387
image199.jpg,800,600,Green,376,245,434,389
image199.jpg,800,600,Green,652,254,717,395
image200.jpg,800,600,Green,83,227,152,378
image200.jpg,800,600,Green,378,234,450,382
image200.jpg,800,600,Green,671,243,729,380
image201.jpg,800,600,Green,91,233,151,373
image201.jpg,800,600,Green,371,232,443,384
image201.jpg,800,600,Green,659,234,732,386
image202.jpg,800,600,Green,83,228,162,378
image202.jpg,800,600,Green,370,232,447,380
image202.jpg,800,600,Green,663,236,734,387
image203.jpg,800,600,Green,87,229,160,376
image203.jpg,800,600,Green,371,228,449,380
image203.jpg,800,600,Green,657,236,732,387
image204.jpg,800,600,Green,74,201,144,355
image204.jpg,800,600,Green,373,206,443,365
image204.jpg,800,600,Green,678,218,749,371
image205.jpg,800,600,Green,72,203,147,355
image205.jpg,800,600,Green,375,213,440,360
image205.jpg,800,600,Green,672,220,754,372
image2051.jpg,800,600,Green,137,457,165,525
image2051.jpg,800,600,Green,263,464,288,529
image2051.jpg,800,600,Green,384,465,415,526
image206.jpg,800,600,Green,73,202,143,360
image206.jpg,800,600,Green,374,214,442,369
image206.jpg,800,600,Green,679,211,754,373
image2061.jpg,800,600,Green,138,458,165,523
image2061.jpg,800,600,Green,263,462,290,524
image2061.jpg,800,600,Green,385,468,413,530
image207.jpg,800,600,Green,58,179,128,343
image207.jpg,800,600,Green,378,184,452,347
image207.jpg,800,600,Green,699,187,772,354
image2071.jpg,800,600,Green,137,459,170,524
image2071.jpg,800,600,Green,262,462,291,526
image2071.jpg,800,600,Green,382,468,410,529
image208.jpg,800,600,Green,62,181,127,338
image208.jpg,800,600,Green,375,182,448,345
image208.jpg,800,600,Green,695,188,777,350
image2081.jpg,800,600,Green,134,456,169,520
image2081.jpg,800,600,Green,260,464,290,527
image2081.jpg,800,600,Green,388,464,416,527
image209.jpg,800,600,Green,42,157,129,320
image209.jpg,800,600,Green,380,157,460,328
image209.jpg,800,600,Green,715,161,800,333
image2091.jpg,800,600,Green,133,458,163,519
image2091.jpg,800,600,Green,262,462,290,525
image2091.jpg,800,600,Green,387,468,415,524
image210.jpg,800,600,Green,41,158,117,324
image210.jpg,800,600,Green,371,162,455,331
image210.jpg,800,600,Green,710,162,799,337
image2101.jpg,800,600,Green,135,457,159,522
image2101.jpg,800,600,Green,264,461,289,523
image2101.jpg,800,600,Green,387,466,415,525
image211.jpg,800,600,Green,39,148,125,330
image211.jpg,800,600,Green,376,162,451,332
image211.jpg,800,600,Green,714,163,800,335
image212.jpg,800,600,Green,19,124,103,304
image212.jpg,800,600,Green,379,126,457,307
image212.jpg,800,600,Green,742,131,800,316
image2121.jpg,800,600,Green,128,447,162,524
image2121.jpg,800,600,Green,258,457,288,526
image2121.jpg,800,600,Green,384,462,417,526
image213.jpg,800,600,Green,20,122,101,305
image213.jpg,800,600,Green,370,129,467,310
image213.jpg,800,600,Green,728,126,800,314
image2131.jpg,800,600,Green,129,454,160,521
image2131.jpg,800,600,Green,263,457,288,526
image2131.jpg,800,600,Green,389,464,412,526
image214.jpg,800,600,Green,28,122,103,309
image214.jpg,800,600,Green,380,126,465,303
image214.jpg,800,600,Green,737,127,797,318
image2141.jpg,800,600,Green,131,454,159,519
image2141.jpg,800,600,Green,262,460,284,519
image2141.jpg,800,600,Green,385,466,408,525
image215.jpg,800,600,Green,9,61,80,277
image215.jpg,800,600,Green,380,68,476,270
image215.jpg,800,600,Green,771,73,800,273
image2151.jpg,800,600,Green,131,452,157,518
image2151.jpg,800,600,Green,260,461,284,521
image2151.jpg,800,600,Green,389,462,413,522
image216.jpg,800,600,Green,5,57,81,277
image216.jpg,800,600,Green,381,71,474,283
image216.jpg,800,600,Green,771,76,799,293
image217.jpg,800,600,Green,6,50,76,270
image217.jpg,800,600,Green,377,78,468,282
image217.jpg,800,600,Green,772,65,800,289
image218.jpg,800,600,Green,1,53,82,271
image218.jpg,800,600,Green,378,74,470,280
image218.jpg,800,600,Green,770,69,800,280
image219.jpg,800,600,Yellow,5,4,50,240
image219.jpg,800,600,Yellow,382,23,480,248
image220.jpg,800,600,Yellow,2,10,51,243
image220.jpg,800,600,Yellow,379,19,499,250
image221.jpg,800,600,Yellow,1,2,69,245
image221.jpg,800,600,Yellow,374,20,490,258
image222.jpg,800,600,Yellow,375,2,513,191
image223.jpg,800,600,Yellow,382,6,496,189
image2231.jpg,800,600,Yellow,105,252,157,390
image2231.jpg,800,600,Yellow,375,257,433,393
image2231.jpg,800,600,Yellow,650,260,714,396
image224.jpg,800,600,Yellow,364,2,507,190
image2241.jpg,800,600,Yellow,104,249,158,386
image2241.jpg,800,600,Yellow,375,252,440,390
image2241.jpg,800,600,Yellow,653,260,710,398
image225.jpg,800,600,Yellow,91,245,166,395
image225.jpg,800,600,Yellow,375,250,443,395
image225.jpg,800,600,Yellow,643,246,714,405
image226.jpg,800,600,Yellow,91,233,163,393
image226.jpg,800,600,Yellow,370,243,439,398
image226.jpg,800,600,Yellow,645,244,723,398
image227.jpg,800,600,Yellow,91,236,165,388
image227.jpg,800,600,Yellow,375,238,441,400
image227.jpg,800,600,Yellow,649,243,726,398
image228.jpg,800,600,Yellow,91,231,171,399
image228.jpg,800,600,Yellow,364,237,447,401
image228.jpg,800,600,Yellow,650,237,718,404
image229.jpg,800,600,Yellow,93,239,167,397
image229.jpg,800,600,Yellow,372,233,439,399
image229.jpg,800,600,Yellow,651,235,717,396
image231.jpg,800,600,Yellow,95,231,167,393
image231.jpg,800,600,Yellow,360,233,455,395
image231.jpg,800,600,Yellow,653,241,718,387
image232.jpg,800,600,Yellow,97,230,167,390
image232.jpg,800,600,Yellow,358,240,449,395
image232.jpg,800,600,Yellow,648,251,724,397
image233.jpg,800,600,Yellow,99,236,160,387
image233.jpg,800,600,Yellow,373,248,435,390
image233.jpg,800,600,Yellow,656,257,715,390
image234.jpg,800,600,Yellow,97,244,163,378
image234.jpg,800,600,Yellow,377,253,430,383
image234.jpg,800,600,Yellow,654,253,716,396
image235.jpg,800,600,Yellow,100,239,165,384
image235.jpg,800,600,Yellow,382,248,442,391
image235.jpg,800,600,Yellow,658,250,722,400
image238.jpg,800,600,Yellow,99,244,159,379
image238.jpg,800,600,Yellow,378,246,439,388
image238.jpg,800,600,Yellow,659,251,719,390
image239.jpg,800,600,Yellow,97,245,159,376
image239.jpg,800,600,Yellow,382,249,438,384
image239.jpg,800,600,Yellow,659,247,720,393
image240.jpg,800,600,Yellow,94,239,156,379
image240.jpg,800,600,Yellow,372,245,439,386
image240.jpg,800,600,Yellow,658,252,724,387
image241.jpg,800,600,Yellow,97,236,158,379
image241.jpg,800,600,Yellow,374,244,441,384
image241.jpg,800,600,Yellow,652,249,728,393
image242.jpg,800,600,Yellow,85,238,163,382
image242.jpg,800,600,Yellow,369,237,448,395
image242.jpg,800,600,Yellow,655,244,726,395
image243.jpg,800,600,Yellow,90,231,164,383
image243.jpg,800,600,Yellow,376,239,443,393
image243.jpg,800,600,Yellow,654,234,727,390
image252.jpg,800,600,Yellow,77,411,120,496
image252.jpg,800,600,Yellow,238,415,274,501
image252.jpg,800,600,Yellow,385,423,430,510
image253.jpg,800,600,Yellow,81,409,121,494
image253.jpg,800,600,Yellow,233,419,270,498
image253.jpg,800,600,Yellow,388,424,421,502
image254.jpg,800,600,Yellow,77,406,121,491
image254.jpg,800,600,Yellow,234,413,272,498
image254.jpg,800,600,Yellow,385,411,428,504
image255.jpg,800,600,Yellow,82,408,113,494
image255.jpg,800,600,Yellow,228,410,282,503
image255.jpg,800,600,Yellow,385,414,433,512
image256.jpg,800,600,Yellow,68,408,112,498
image256.jpg,800,600,Yellow,234,413,271,491
image256.jpg,800,600,Yellow,392,422,430,506
image257.jpg,800,600,Yellow,73,405,107,494
image257.jpg,800,600,Yellow,229,416,268,494
image257.jpg,800,600,Yellow,388,418,430,503
image258.jpg,800,600,Yellow,70,404,118,493
image258.jpg,800,600,Yellow,232,412,274,499
image258.jpg,800,600,Yellow,394,425,430,500
image259.jpg,800,600,Yellow,60,398,104,488
image259.jpg,800,600,Yellow,227,412,272,503
image259.jpg,800,600,Yellow,397,414,431,508
image260.jpg,800,600,Yellow,60,399,107,488
image260.jpg,800,600,Yellow,228,404,266,500
image260.jpg,800,600,Yellow,395,410,426,504
image261.jpg,800,600,Yellow,70,405,105,495
image261.jpg,800,600,Yellow,226,405,268,509
image261.jpg,800,600,Yellow,392,412,427,507
image262.jpg,800,600,Yellow,67,396,102,491
image262.jpg,800,600,Yellow,228,403,273,498
image262.jpg,800,600,Yellow,392,402,439,501
image263.jpg,800,600,Red,84,487,119,546
image263.jpg,800,600,Red,192,490,222,556
image263.jpg,800,600,Red,293,494,326,555
image2631.jpg,800,600,Yellow,66,402,101,489
image2631.jpg,800,600,Yellow,230,406,262,487
image2631.jpg,800,600,Yellow,398,415,433,499
image264.jpg,800,600,Yellow,60,395,104,485
image264.jpg,800,600,Yellow,223,409,271,493
image264.jpg,800,600,Yellow,390,410,441,497
image265.jpg,800,600,Yellow,65,402,102,488
image265.jpg,800,600,Yellow,226,401,264,495
image265.jpg,800,600,Yellow,397,405,431,497
image286.jpg,800,600,Red,156,469,175,533
